legacy_nid;legacy_content_type;published;acronym;title;project_name;description_text;description_html;call_programme;kick_off_year;end_year;funding;role;partners;project_url;legacy_path;created_date;updated_date;research_area;research_topics;selected_home;review_status;review_notes;responsible_person;responsible_role;source_url;source_evidence;verification_status
185;scheda_progetto;yes;ARES;ARES - Robotica autonoma per la nave estesa;Robotica autonoma per la nave estesa;"ARES aims at developing a new paradigm in the marine technology area: a complex system – the ship with all the subsystems (for control, measurement, etc.) – integrated with new marine robotic technologies (a cooperative system of underwater and surface drones), to extend its operability and flexibility of use in many missions: environmental emergencies, support to the defense system, deployment and maintenance for marine renewable energy devices, off-shore platforms, etc. The technology challenge is the development of a new RD&I ecosystem in the shipbuilding and marine robotic sector, which combines the strategic perspective of large industries (to develop dual-use systems integrated into a IoT framework) with the ship-owner perspective (to acquire new marine vehicle capable of cooperative working with swarm of drones). The ambition is to develop research in the robotic framework empowering, by the creation of spin-offs and start-ups, a layer of SME capable of developing robotic vehicles, maritime instrumentation and sensors, ICT systems, data control and analysis, remote control and coordination.""";"<div>ARES aims at developing a new paradigm in the marine technology area: a complex system – the ship with all the subsystems (for control, measurement, etc.) – integrated with new marine robotic technologies (a cooperative system of underwater and surface drones), to extend its operability and flexibility of use in many missions: environmental emergencies, support to the defense system, deployment and maintenance for marine renewable energy devices, off-shore platforms, etc.</div><div>The technology challenge is the development of a new RD&amp;I ecosystem in the shipbuilding and marine robotic sector, which combines the strategic perspective of large industries (to develop dual-use systems integrated into a IoT framework) with the ship-owner perspective (to acquire new marine vehicle capable of cooperative working with swarm of drones).</div><div>The ambition is to develop research in the robotic framework empowering, by the creation of spin-offs and start-ups, a layer of SME capable of developing robotic vehicles, maritime instrumentation and sensors, ICT systems, data control and analysis, remote control and coordination.""</div>";PON “Ricerca e Innovazione” 2014-2020 e FSC, di cui all’Avviso n. 1735/Ric del 13 luglio 2017;2017;;;;;;node/185;2021-12-01;2021-12-01;;;;to review;;;;;;
186;scheda_progetto;yes;TME;TME - Processo Automatico per l'Implementazione di Tecnologie per la Mobilità Efficiente Navale;Processo Automatico per l'Implementazione di Tecnologie per la Mobilità Efficiente Navale;"""Inglese: The TME project has as its purpose the development of a process technology capable of achieving, with the minimum contribution of the design engineer, the automation of production processes. The T ME project intends to work on the development of the production process of retrofitting boats with Dual Fuel and hydrofoil technologies through the use of equipment equipped with sensors for the law of data, software and specific algorithms. The project aims at a high level of automation of the entire retrofit process of boats, from the acquisition of geometric and center of gravity data of the vessels, to their use for the processing of projects and to the processing of kits that will be automated everything in order to minimize the contribution of the design engineer, moreover it also intends to automate all the experimental aspects for the acquisition of navigation performance and to automate the processing of documentation for the certifying body. The process involves an initial cognitive phase of the vessel to which structural and engine changes are to be made. Once the hull of the boat has been analyzed, a software will process a parameterization of the sheets based on the structural characteristics of the vessel. This will allow to draw up structural calculations of the sheet appendages applied to the hull. The structural and engine analysis will also make it possible to identify the possible Identities for the retrofit installation of the dual fuel / hybrid system. The analysis and control software must at the same time identify the best configuration for installing the foils. The survey data will allow to automatically formulate the design data of the new hulls with retrofit foil, useful for producing the documentation for the purpose of obtaining the homologation certificate from the reference bodies. """;"<div>""Inglese: The TME project has as its purpose the development of a process technology capable of achieving, with the minimum contribution of the design engineer, the automation of production processes. The T ME project intends to work on the development of the production process of retrofitting boats with Dual Fuel and hydrofoil technologies through the use of equipment equipped with sensors for the law of data, software and specific algorithms. The project aims at a high level of automation of the entire retrofit process of boats, from the acquisition of geometric and center of gravity data of the vessels, to their use for the processing of projects and to the processing of kits that will be automated everything in order to minimize the contribution of the design engineer, moreover it also intends to automate all the experimental aspects for the acquisition of navigation performance and to automate the processing of documentation for the certifying body. The process involves an initial cognitive phase of the vessel to which structural and engine changes are to be made. Once the hull of the boat has been analyzed, a software will process a parameterization of the sheets based on the structural characteristics of the vessel. This will allow to draw up structural calculations of the sheet appendages applied to the hull. The structural and engine analysis will also make it possible to identify the possible Identities for the retrofit installation of the dual fuel / hybrid system. The analysis and control software must at the same time identify the best configuration for installing the foils. The survey data will allow to automatically formulate the design data of the new hulls with retrofit foil, useful for producing the documentation for the purpose of obtaining the homologation certificate from the reference bodies.&nbsp;</div><div>""</div>";PON I&C 2014-2020, di cui al D.M. 5 marzo 2018 Capo III;2019;;;Responsabile scientifico: Antonio Scamardella;;;node/186;2021-12-01;2021-12-01;;;;to review;;Antonio Scamardella;Responsabile scientifico;https://amministrazionetrasparente.uniparthenope.it/page/5/bandi-di-concorso.html?p=132;"Official University transparency record: TME, CUP B66G21000090005, funded by MISE; responsible scientist Prof. Antonio Scamardella.";verified_official
187;scheda_progetto;yes;SMILE;SMILE - Satellite Multicostellation Identification techniques for Liable Enhahced applications;Satellite Multicostellation Identification techniques for Liable Enhahced applications;The project aims to develop a component (called i-Cometa) whose level of innovation is such as to make it essential for the development of sustainable mobility, through social innovation actions such as Car Sharing / Boat Sharing / Fleet Management / Easy Parking, in a context where the Smart Cities paradigm is declined according to a Human Vision, that is, according to a perspective that focuses on the needs of citizens / communities as the main actors of urban intelligence.;"<p>The project aims to develop a component (called i-Cometa) whose level of innovation is such as to make it essential for the development of sustainable mobility, through social innovation actions such as Car Sharing / Boat Sharing / Fleet Management / Easy Parking, in a context where the Smart Cities paradigm is declined according to a Human Vision, that is, according to a perspective that focuses on the needs of citizens / communities as the main actors of urban intelligence.&nbsp;</p>";Bando Periodico Riservato alle PMI – BANDO TEMATICO 04 “Navigazione e Osservazione della Terra: utilizzo delle infrastrutture spaziali nazionali e comunitarie”;2014;;;;;;node/187;2021-12-01;2021-12-01;;;;to review;;;;;;
188;scheda_progetto;yes;CARINA;CARINA - CAR sharing Integrated NAvigation system;CAR sharing Integrated NAvigation system;The project aims to develop a component (called i-Cometa) whose level of innovation is such as to make it essential for the development of sustainable mobility, through social innovation actions such as Car Sharing / Boat Sharing / Fleet Management / Easy Parking, in a context where the Smart Cities paradigm is declined according to a Human Vision, that is, according to a perspective that focuses on the needs of citizens / communities as the main actors of urban intelligence.;"<p>The project aims to develop a component (called i-Cometa) whose level of innovation is such as to make it essential for the development of sustainable mobility, through social innovation actions such as Car Sharing / Boat Sharing / Fleet Management / Easy Parking, in a context where the Smart Cities paradigm is declined according to a Human Vision, that is, according to a perspective that focuses on the needs of citizens / communities as the main actors of urban intelligence.&nbsp;</p>";POR CAMPANIA FESR  2007-2013 (interventi a favore delle PMI e degli organismi di ricerca - sportello dell'innovazione di cui al D.D. n. 1 del 5/2/2014;2014;;;;;;node/188;2021-12-01;2021-12-01;;;;to review;;;;;;
189;scheda_progetto;yes;MARELAB;MARELAB - Costituzione del Centro Sperimentale delle competenze nell'area dell'Economia del Mare e dei trasporti Marittimi;Costituzione del Centro Sperimentale delle competenze nell'area dell'Economia del Mare e dei trasporti Marittimi;;;POR Campania 2007-2013, D.G.R. n. 1368 del 06/08/2009 - D.D. n. 334 del 23/12/2009;2013;;;;;;node/189;2021-12-01;2021-12-01;;;;to review;;;;;;
190;scheda_progetto;yes;;Sicurezza della Navigazione: Sistema di Monitoraggio dei moti nave e dei loro effetti sulle persone imbarcate ai fini del miglioramento della sicurezza e dell’ergonomia a bordo;Sicurezza della Navigazione: Sistema di Monitoraggio dei moti nave e dei loro effetti sulle persone imbarcate ai fini del miglioramento della sicurezza e dell’ergonomia a bordo;;;Legge Regionale N.5 del 28.03.2002 per l’annualità 2009 ;2009;;;;;;node/190;2021-12-01;2021-12-01;;;;to review;;;;;;
;web_official;1;MANATEE;MANATEE - Monitoring and mApping of mariNe hAbitat with inTegrated gEomatics technologiEs;PNRR – PRIN 2022 MANATEE - Monitoraggio e mappatura degli habitat marini con tecnologie geomatiche integrate;Development and testing of a visual-inertial-pressure underwater mapping system for ROVs, integrating optical, inertial and pressure sensors for marine-habitat monitoring and mapping.;;PNRR – PRIN 2022;2023;;;Responsabile scientifico: Silvio Del Pizzo;;https://bandi.mur.gov.it/bandi.php/public/fellowship/id_fellow/255362;;;;;;;review;"Added from official MUR record; scientific classification to be reviewed.";Silvio Del Pizzo;Responsabile scientifico;https://bandi.mur.gov.it/bandi.php/public/fellowship/id_fellow/255362;"Official MUR fellowship record explicitly identifies Prof. Silvio Del Pizzo as responsible scientist; project code PRIN_2022_DELPIZZO, CUP I53D23001970006.";verified_official
;web_official;1;Smart PUFFIN;Smart PUFFIN - Sistema subacqueo di posizionamento intelligente per il settore ambientale che utilizza l’intelligenza artificiale;PNRR – PRIN 2022 Smart PUFFIN;Research project on an intelligent underwater positioning system for environmental applications using artificial intelligence.;;PNRR – PRIN 2022;2023;;;Responsabile scientifico: Silvio Del Pizzo;;https://bandi.mur.gov.it/bandi.php/public/cercaFellowship?bb_type_code=NAPARTH;;;;;;;review;"Added from official MUR record; project code PRIN_PNRR_2022_DELPIZZO, CUP I53D23006400001. Scientific classification to be reviewed.";Silvio Del Pizzo;Responsabile scientifico;https://bandi.mur.gov.it/bandi.php/public/cercaFellowship?bb_type_code=NAPARTH;Official MUR search record explicitly identifies Prof. Silvio Del Pizzo as responsible scientist for Smart PUFFIN, CUP I53D23006400001.;verified_official
;web_official;1;TWINMED;TWINMED - Master Course on the Twin Transition of the Maritime Industry in the South Mediterranean Region;TWINMED - Enhancing Digital and Green Competencies and Technological Innovation in Maritime Education and Training;International maritime education and training project focused on the twin digital and green transition of the maritime industry in the South Mediterranean region.;;;2026;;;Responsabile scientifico: Salvatore Gaglione;;https://amministrazionetrasparente.uniparthenope.it/page/76/concorsi-scaduti.html?p=5;;;;;;;review;Added from official University transparency record. Scientific classification and programme/funding details to be reviewed.;Salvatore Gaglione;Responsabile scientifico;https://amministrazionetrasparente.uniparthenope.it/page/76/concorsi-scaduti.html?p=5;Official University transparency record explicitly identifies Prof. Salvatore Gaglione as responsible scientist for TWINMED.;verified_official
