cid,original_name,normalized_name,surname_key,initial_key,parse_method,ambiguous_group
133,"Pennino, S.",Silvia Pennino,PENNINO,S,comma,no
134,"Xu, Haosheng",Haosheng Xu,XU,H,comma,no
135,"Hsu, Li-Ta",Li-Ta Hsu,HSU,L,comma,no
136,"Dardanelli, G.",G. Dardanelli,DARDANELLI,G,comma,no
137,"Pisciotta, A.",A. Pisciotta,PISCIOTTA,A,comma,no
138,"Pipitone, C.",C. Pipitone,PIPITONE,C,comma,no
139,"Pennino, Silvia",Silvia Pennino,PENNINO,S,comma,no
140,"Corte, Vincenzo Della",Vincenzo Della Corte,CORTE,V,comma,no
141,"Ferraioli, Giampaolo",Giampaolo Ferraioli,FERRAIOLI,G,comma,no
142,"Martellato, Elena",Elena Martellato,MARTELLATO,E,comma,no
143,"Palumbo, Pasquale",Pasquale Palumbo,PALUMBO,P,comma,no
144,"Piscopo, Vincenzo",Vincenzo Piscopo,PISCOPO,V,comma,no
145,"Rotundi, Alessandra",Alessandra Rotundi,ROTUNDI,A,comma,no
146,"Scamardella, Antonio",Antonio Scamardella,SCAMARDELLA,A,comma,no
147,"Della Corte, V.",Vincenzo Della Corte,DELLA CORTE,V,comma,no
148,"Martellato, E.",Elena Martellato,MARTELLATO,E,comma,no
149,"Rotundi, A.",Alessandra Rotundi,ROTUNDI,A,comma,no
150,"Ferraioli, G.",Giampaolo Ferraioli,FERRAIOLI,G,comma,no
151,"Palumbo, P.",Pasquale Palumbo,PALUMBO,P,comma,no
152,"Pizzo, Silvio Del",Silvio Del Pizzo,PIZZO,S,comma,yes
153,"Ciaccio, Fabiana Di",Fabiana Di Ciaccio,CIACCIO,F,comma,no
154,"Testa, Rosa Linda",Rosa Linda Testa,TESTA,R,comma,yes
155,"Sciancalepore, Giuseppe",Giuseppe Sciancalepore,SCIANCALEPORE,G,comma,no
156,"Pedrotti, Davide",Davide Pedrotti,PEDROTTI,D,comma,no
157,"Pietroluongo, Guido",Guido Pietroluongo,PIETROLUONGO,G,comma,no
158,"Alessandri, L.",L. Alessandri,ALESSANDRI,L,comma,no
159,"Cardello, G.L.",G.L. Cardello,CARDELLO,G,comma,no
160,"Attema, P.A.J.",P.A.J. Attema,ATTEMA,P,comma,no
161,"Baiocchi, V.",Valerio Baiocchi,BAIOCCHI,V,comma,no
162,"De Angelis, F.",F. De Angelis,DE ANGELIS,F,comma,no
163,"Di Ciaccio, F.",Fabiana Di Ciaccio,DI CIACCIO,F,comma,no
164,"Fiorillo, A.",A. Fiorillo,FIORILLO,A,comma,no
165,"Gatta, M.",M. Gatta,GATTA,M,comma,no
166,"Monti, F.",Felicia Monti,MONTI,F,comma,no
167,"Onori, M.",Matteo Onori,ONORI,M,comma,no
168,"Rolfo, M.F.",M.F. Rolfo,ROLFO,M,comma,no
169,"Romboni, M.",M. Romboni,ROMBONI,M,comma,no
170,"Sottili, G.",G. Sottili,SOTTILI,G,comma,no
171,"Russo, P.",P. Russo,RUSSO,P,comma,no
172,"Brigante, R.",R. Brigante,BRIGANTE,R,comma,no
173,"Giannone, F.",F. Giannone,GIANNONE,F,comma,no
174,"Radicioni, F.",F. Radicioni,RADICIONI,F,comma,no
175,"Stoppini, A.",A. Stoppini,STOPPINI,A,comma,no
176,"Tosi, G.",G. Tosi,TOSI,G,comma,no
177,"Baumgartner, M.",M. Baumgartner,BAUMGARTNER,M,comma,no
178,"Pugliano, G.",Giovanni Pugliano,PUGLIANO,G,comma,no
179,"Robustelli, U.",Umberto Robustelli,ROBUSTELLI,U,comma,no
180,"Vatore, F.",Felicia Vatore,VATORE,F,comma,no
181,"León Trujillo, F.J.",F.J. León Trujillo,LEON TRUJILLO,F,comma,no
182,"Aucelli, P.P.C.",Pietro PC Aucelli,AUCELLI,P,comma,yes
183,"Mattei, G.",Gaia Mattei,MATTEI,G,comma,no
184,"Caporizzo, C.",Claudia Caporizzo,CAPORIZZO,C,comma,no
185,"Cinque, A.",Aldo Cinque,CINQUE,A,comma,no
186,"Peluso, F.",F. Peluso,PELUSO,F,comma,no
187,"Stefanile, M.",M. Stefanile,STEFANILE,M,comma,no
188,"Pappone, G.",Gerardo Pappone,PAPPONE,G,comma,no
189,"Menegazzo, P.",P. Menegazzo,MENEGAZZO,P,comma,no
190,"Campanile, A.",A. Campanile,CAMPANILE,A,comma,no
191,"Mandarino, M.",M. Mandarino,MANDARINO,M,comma,no
192,"Cappello, G.",Giovanni Cappello,CAPPELLO,G,comma,no
193,"Pizzo, S.D.",Silvio Del Pizzo,PIZZO,S,comma,yes
194,"Cappello, Giovanni",Giovanni Cappello,CAPPELLO,G,comma,no
195,"Ascione, Silvia",Silvia Ascione,ASCIONE,S,comma,no
196,"Messina, Sebastiano",Sebastiano Messina,MESSINA,S,comma,no
