publication_id,year,date,title,authors,authors_original,pang_faculty_authors,document_type,source_title,tertiary_title,publisher,place_published,volume,issue,pages,doi,doi_normalized,issn,isbn,url,abstract,language,source,legacy_nid,legacy_status,include_in_master,data_quality_flags
drupal-266,2025,,"A Micro Radar-Based Low-Cost Solution for Positioning and Detection, and Avoidance System",Gennaro Ariante; Lucie Rocquelain; Salvatore Gaglione; Silvio Del Pizzo; Giuseppe Del Core,"Ariante, Gennaro; Rocquelain, Lucie; Gaglione, Salvatore; Del Pizzo, Silvio; Core, Giuseppe Del",Salvatore Gaglione; Silvio Del Pizzo,Conference Paper,"2025 IEEE International Workshop on Metrology for AeroSpace, MetroAeroSpace 2025 - Proceedings",,,,,,,10.1109/MetroAeroSpace64938.2025.11114485,10.1109/MetroAeroSpace64938.2025.11114485,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015377060&doi=10.1109%2fMetroAeroSpace64938.2025.11114485&partnerID=40&md5=03287e527efef9f4adf9d23e9c84507f,,eng,drupal,266,1,review_scopus_2025,
drupal-263,2025,,"Advancing Offshore Renewable Energy in the Mediterranean Sea: Digital-Med, a Project for Integrating Resource Assessment and Decision Support",Silvio Del Pizzo; Salvatore Gaglione; Pier Paolo Amoroso; Pasquale Contestabile; Yuri Cotroneo; Francesco Giuseppe Figliomeni; Diego Vicinanza; Giorgio Budillon,"Pizzo, Silvio Del; Gaglione, Salvatore; Amoroso, Pier Paolo; Contestabile, Pasquale; Cotroneo, Yuri; Figliomeni, Francesco Giuseppe; Vicinanza, Diego; Budillon, Giorgio",Silvio Del Pizzo; Salvatore Gaglione,Conference Paper,"2025 IEEE International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters, MetroSea 2025 - Proceedings",,,,,,,10.1109/MetroSea66681.2025.11245754,10.1109/MetroSea66681.2025.11245754,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029542122&doi=10.1109%2fMetroSea66681.2025.11245754&partnerID=40&md5=deea9b4f945a9ec20267bce45c30d977,,eng,drupal,263,1,review_scopus_2025,"ambiguous_author:Pizzo, Silvio Del"
drupal-265,2025,,The G4 Solar Storm of May 2024: Impact on the GNSS carrier-phase measurements,Giovanni Cappello; Ciro Gioia; Antonio Angrisano; Gabriele Portelli; Salvatore Gaglione,"Cappello, Giovanni; Gioia, Ciro; Angrisano, Antonio; Portelli, Gabriele; Gaglione, Salvatore",Salvatore Gaglione,Conference Paper,"Proceedings of the International Technical Meeting of The Institute of Navigation, ITM",,,,,,,10.33012/2025.19984,10.33012/2025.19984,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001675036&doi=10.33012%2f2025.19984&partnerID=40&md5=739f848160bb42247f9941f85f76ae90,,eng,drupal,265,1,review_scopus_2025,
drupal-267,2025,,The Galileo-based UAV velocity: Doppler and Time-Differenced Carrier Phase,Giovanni Cappello; Ciro Gioia; Andrea Piccolo; Antonio Angrisano; Salvatore Gaglione,"Cappello, Giovanni; Gioia, Ciro; Piccolo, Andrea; Angrisano, Antonio; Gaglione, Salvatore",Salvatore Gaglione,Conference Paper,"2025 IEEE International Workshop on Metrology for AeroSpace, MetroAeroSpace 2025 - Proceedings",,,,,,,10.1109/MetroAeroSpace64938.2025.11114637,10.1109/MetroAeroSpace64938.2025.11114637,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015510478&doi=10.1109%2fMetroAeroSpace64938.2025.11114637&partnerID=40&md5=7eb302fc7d501619ffc0077b7e307cfc,,eng,drupal,267,1,review_scopus_2025,
drupal-249,2025,,The synthetic meta-signal observations: a multipath resistance assessment,Giovanni Cappello; Ciro Gioia; Antonio Angrisano; Salvatore Gaglione,"Cappello, Giovanni; Gioia, Ciro; Angrisano, Antonio; Gaglione, Salvatore",Salvatore Gaglione,Conference Paper,"Proceedings of the International Technical Meeting of The Institute of Navigation, ITM",,,,,,,10.33012/2025.19974,10.33012/2025.19974,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001668620&doi=10.33012%2f2025.19974&partnerID=40&md5=e3784e375792ec1833f2de6d00e0ea7b,,eng,drupal,249,1,review_scopus_2025,
drupal-264,2025,,Toward Context-Aware GNSS Positioning: A Preliminary Analysis †,Giovanni Cappello; Antonio Maratea; Ciro Gioia; Antonio Angrisano; Silvio Del Pizzo; Salvatore Gaglione,"Cappello, Giovanni; Maratea, Antonio; Gioia, Ciro; Angrisano, Antonio; Del Pizzo, Silvio; Gaglione, Salvatore",Silvio Del Pizzo; Salvatore Gaglione,Journal Article,Engineering Proceedings,,,,88,,,10.3390/engproc2025088014,10.3390/engproc2025088014,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023666393&doi=10.3390%2fengproc2025088014&partnerID=40&md5=062a75da7c74085f6b1f50a1bc441882,,eng,drupal,264,1,review_scopus_2025,
