publication_id,year,date,title,authors,pang_faculty_authors,document_type,source_title,tertiary_title,publisher,place_published,volume,issue,pages,doi,doi_normalized,issn,isbn,url,abstract,language,source,legacy_nid,legacy_status,include_in_master,data_quality_flags,scopus_eid,verification_status,verification_source_url
drupal-226,2022,,Time-Differenced Carrier Phase Technique for Precise Velocity Estimation on an Android Smartphone,Antonio Angrisano; Giovanni Cappello; Silvio Del Pizzo; Salvatore Gaglione,Silvio Del Pizzo; Salvatore Gaglione,Journal Article,Sensors,,,,22,,,10.3390/s22218514,10.3390/s22218514,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141576490&doi=10.3390%2fs22218514&partnerID=40&md5=58bb5fe85b4ff343feeb6f5af0ade089,,eng,drupal,226,1,yes,,,legacy_drupal_historical,
drupal-172,2021,,A Kalman filter single point positioning for maritime applications using a smartphone,Anna Innac; Antonio Angrisano; G. Dardanelli; Vincenzo Della Corte; Elena Martellato; Alessandra Rotundi; Giampaolo Ferraioli; Pasquale Palumbo; Salvatore Gaglione,Giampaolo Ferraioli; Salvatore Gaglione,Journal Article,Geographia Technica,,,,16,,15-29,10.21163/GT_2021.163.02,10.21163/GT_2021.163.02,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104946254&doi=10.21163%2fGT_2021.163.02&partnerID=40&md5=ee32f4e7818feeb22ee5c1c25d7e0419,,eng,drupal,172,1,yes,,,legacy_drupal_historical,
drupal-192,2021,,A preliminary study on an optical system for nautical and maritime traffic monitoring,Silvio Del Pizzo; Salvatore Troisi; Antonio Angrisano; Fabiana Di Ciaccio; Salvatore Gaglione,Silvio Del Pizzo; Salvatore Troisi; Salvatore Gaglione,Conference Paper,2021 International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters (MetroSea),,,,,,,10.1109/MetroSea52177.2021.9611575,10.1109/MetroSea52177.2021.9611575,,,,,eng,drupal,192,1,yes,"ambiguous_author:Pizzo, Silvio Del",,legacy_drupal_historical,
drupal-197,2021,,Danae++: A smart approach for denoising underwater attitude estimation,P. Russo; Fabiana Di Ciaccio; Salvatore Troisi,Salvatore Troisi,Journal Article,Sensors,,,,21,,1-21,10.3390/s21041526,10.3390/s21041526,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101177509&doi=10.3390%2fs21041526&partnerID=40&md5=aacf41a8b089e0745bbee8259b6a4861,,eng,drupal,197,1,yes,,,legacy_drupal_historical,
drupal-194,2021,,EGNOS Performances assessment in maritime navigation,Anna Innac; Antonio Angrisano; Silvio Del Pizzo; Mario Vultaggio; Salvatore Gaglione,Silvio Del Pizzo; Salvatore Gaglione,Conference Paper,2021 International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters (MetroSea),,,,,,,10.1109/MetroSea52177.2021.9611552,10.1109/MetroSea52177.2021.9611552,,,,,eng,drupal,194,1,yes,"ambiguous_author:Pizzo, Silvio Del",,legacy_drupal_historical,
drupal-196,2021,,Monitoring marine environments with Autonomous Underwater Vehicles: A bibliometric analysis,Fabiana Di Ciaccio; Salvatore Troisi,Salvatore Troisi,Journal Article,Results in Engineering,,,,9,,,10.1016/j.rineng.2021.100205,10.1016/j.rineng.2021.100205,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100073203&doi=10.1016%2fj.rineng.2021.100205&partnerID=40&md5=212378979419f0ca269c82a38c140075,,eng,drupal,196,1,yes,,,legacy_drupal_historical,
drupal-193,2021,,Photogrammetry applications on stranded cetaceans: fin whale case study and preliminary results.,Silvio Del Pizzo; Salvatore Troisi; Rosa Linda Testa; Giuseppe Sciancalepore; Davide Pedrotti; Guido Pietroluongo,Silvio Del Pizzo; Salvatore Troisi,Conference Paper,2021 International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters (MetroSea),,,,,,,10.1109/MetroSea52177.2021.9611588,10.1109/MetroSea52177.2021.9611588,,,,,eng,drupal,193,1,yes,"ambiguous_author:Pizzo, Silvio Del; ambiguous_author:Testa, Rosa Linda",,legacy_drupal_historical,
drupal-195,2021,,"Reconstructing the Late Pleistocene – Anthropocene interaction between the neotectonic and archaeological landscape evolution in the Apennines (La Sassa cave, Italy)",L. Alessandri; G.L. Cardello; P.A.J. Attema; Valerio Baiocchi; F. De Angelis; Silvio Del Pizzo; Fabiana Di Ciaccio; A. Fiorillo; M. Gatta; Felicia Monti; Matteo Onori; M.F. Rolfo; M. Romboni; G. Sottili; Salvatore Troisi,Silvio Del Pizzo; Salvatore Troisi,Journal Article,Quaternary Science Reviews,,,,265,,,10.1016/j.quascirev.2021.107067,10.1016/j.quascirev.2021.107067,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109153117&doi=10.1016%2fj.quascirev.2021.107067&partnerID=40&md5=3b194a70e40e6d3cab1df4851e58b920,,eng,drupal,195,1,yes,,,legacy_drupal_historical,
drupal-171,2021,,Sea State Monitoring by Ship Motion Measurements Onboard a Research Ship in the Antarctic Waters,Silvia Pennino; Antonio Angrisano; Vincenzo Della Corte; Giampaolo Ferraioli; Salvatore Gaglione; Anna Innac; Elena Martellato; Pasquale Palumbo; Vincenzo Piscopo; Alessandra Rotundi; Antonio Scamardella,Silvia Pennino; Giampaolo Ferraioli; Salvatore Gaglione; Vincenzo Piscopo; Antonio Scamardella,Journal Article,Journal of Marine Science and Engineering,,,,9,,64,10.3390/jmse9010064,10.3390/jmse9010064,2077-1312,,https://www.mdpi.com/2077-1312/9/1/64,"A parametric wave spectrum resembling procedure is applied to detect the sea state parameters, namely the wave peak period and significant wave height, based on the measurement and analysis of the heave and pitch motions of a vessel in a seaway, recorded by a smartphone located onboard the ship. The measurement system makes it possible to determine the heave and pitch acceleration spectra of the reference ship in the encounter frequency domain and, subsequently, the absolute sea spectra once the ship motion transfer functions are provided. The measurements have been carried out onboard the research ship “Laura Bassi”, during the oceanographic campaign in the Antarctic Ocean carried out in January and February 2020. The resembled sea spectra are compared with the weather forecast data, provided by the global-WAM (GWAM) model, in order to validate the sea spectrum resembling procedure.",eng,drupal,171,1,yes,,,legacy_drupal_historical,
drupal-204,2020,,A flexible and swift approach for 3D image–based survey in a cave,L. Alessandri; Valerio Baiocchi; Silvio Del Pizzo; Fabiana Di Ciaccio; Matteo Onori; M.F. Rolfo; Salvatore Troisi,Silvio Del Pizzo; Salvatore Troisi,Journal Article,Applied Geomatics,,,,,,,10.1007/s12518-020-00309-4,10.1007/s12518-020-00309-4,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084596892&doi=10.1007%2fs12518-020-00309-4&partnerID=40&md5=b4e5eb343d5ab1cdd990f9f70a0466fd,,eng,drupal,204,1,yes,,,legacy_drupal_historical,
drupal-161,2020,,A Machine Learning Approach for Walker Identification Using Smartphone Sensors,Antonio Angrisano; P. Ardimento; M.L. Bernardi; M. Cimitile; Salvatore Gaglione,Salvatore Gaglione,Journal Article,Studies in Computational Intelligence,,,,880,,229-247,10.1007/978-3-030-36617-9_14,10.1007/978-3-030-36617-9_14,1860949X,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078103442&doi=10.1007%2f978-3-030-36617-9_14&partnerID=40&md5=d6b9b3418dc0a28bea3cf61f6f4c08c5,,eng,drupal,161,1,yes,,,legacy_drupal_historical,
drupal-162,2020,,A new wave spectrum resembling procedure based on ship motion analysis,Vincenzo Piscopo; Antonio Scamardella; Salvatore Gaglione,Vincenzo Piscopo; Antonio Scamardella; Salvatore Gaglione,Journal Article,Ocean Engineering,,,,201,,,10.1016/j.oceaneng.2020.107137,10.1016/j.oceaneng.2020.107137,00298018,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079837856&doi=10.1016%2fj.oceaneng.2020.107137&partnerID=40&md5=a1e0e8d7d2c0a6ab3b7a53fb7151c7a3,,eng,drupal,162,1,yes,,,legacy_drupal_historical,
drupal-203,2020,,A Preliminary Study on Attitude Measurement Systems Based on Low Cost Sensors,Fabiana Di Ciaccio; Salvatore Gaglione; Salvatore Troisi,Salvatore Gaglione; Salvatore Troisi,Journal Article,Communications in Computer and Information Science,,,,1246,,103-115,10.1007/978-3-030-62800-0_9,10.1007/978-3-030-62800-0_9,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097387204&doi=10.1007%2f978-3-030-62800-0_9&partnerID=40&md5=df40a6ba8024aca29b08a45d61cafb52,,eng,drupal,203,1,yes,,,legacy_drupal_historical,
drupal-164,2020,,Absolute sea spectrum resampling from encounter wave time history,Salvatore Gaglione; Silvia Pennino; Vincenzo Piscopo; Antonio Scamardella,Salvatore Gaglione; Silvia Pennino; Vincenzo Piscopo; Antonio Scamardella,Conference Paper,"2019 IMEKO TC19 International Workshop on Metrology for the Sea: Learning to Measure Sea Health Parameters, MetroSea 2019",,,,,,,,,,9789299008423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081048777&partnerID=40&md5=9d4ba859d16567adf7b39636ebaff725,,eng,drupal,164,1,yes,missing_doi,,legacy_drupal_historical,
